"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.398945167E0,1.599243134E-1,2.060374022E-1,1.581437588E-1
6.418833167E0,-3.079172224E-2,1.141264662E-1,2.501849458E-2
6.438718792E0,-1.391877234E-1,-6.974408031E-2,-9.042156488E-2
6.458606792E0,-2.897841334E-1,-1.477126032E-1,-1.550934911E-1
6.478494792E0,-4.139483869E-1,-1.736226529E-1,-2.078867108E-1
6.498382792E0,-3.387752473E-1,-3.989000916E-1,-2.377085537E-1
6.518270792E0,-3.246443272E-1,-4.315638840E-1,-1.513920128E-1
6.538158792E0,-1.777237654E-1,-3.503600061E-1,-5.035619251E-4
6.558046792E0,9.471672773E-2,-2.595467120E-2,9.729839861E-2
6.577934792E0,3.496511579E-1,4.157130420E-1,1.610250920E-1
6.597822792E0,4.677288830E-1,6.176958680E-1,2.536908090E-1
6.617710792E0,4.105188549E-1,5.073520541E-1,3.708387613E-1
6.637598792E0,3.663277924E-1,2.867112756E-1,2.390816063E-1
6.657486792E0,4.208548069E-1,1.421182007E-1,1.020039245E-1
6.677374792E0,3.201139569E-1,-1.029663682E-1,3.968028724E-2
6.697262792E0,2.041635811E-1,-3.313928246E-1,-1.111092940E-1
6.717150792E0,1.090502925E-2,-3.353209049E-2,-2.316061407E-2
6.737038792E0,-2.308905423E-1,8.416067064E-2,-5.794985965E-2
6.756926792E0,-4.219303131E-1,-4.354355857E-3,-1.942367107E-1
6.776814792E0,-4.876020253E-1,-2.265301198E-1,-2.676636577E-1
6.796702792E0,-3.957193792E-1,-4.787204862E-1,-2.785096467E-1
6.816590792E0,-2.735900879E-1,-4.671043158E-1,-1.965544969E-1
6.836478792E0,-1.761649698E-1,-2.085631937E-1,-1.191615909E-1
6.856366792E0,-5.018448923E-3,-9.280195087E-2,-3.143678978E-2
6.876254792E0,1.051676795E-1,1.288442463E-1,9.340788424E-2
6.896142792E0,1.977846324E-1,2.660996020E-1,1.790105999E-1
6.916030792E0,3.091221154E-1,3.571709991E-1,1.905154735E-1
6.935918792E0,2.742922604E-1,3.556971252E-1,1.000636518E-1
6.955806792E0,1.765429676E-1,2.340288758E-1,1.868025213E-2
6.975694792E0,1.584396362E-1,6.814938970E-3,4.711187445E-3
6.995582792E0,-1.469801879E-3,-5.320043489E-2,9.202885441E-3
7.015470792E0,-1.461973786E-1,-7.087716460E-2,-4.538668320E-2
7.035358792E0,-3.263312876E-1,-1.590011120E-1,-1.453409642E-1
7.055246792E0,-4.687413275E-1,-4.295881689E-1,-2.328637987E-1
7.075134792E0,-5.905798078E-1,-6.207796931E-1,-2.733266056E-1
7.095022792E0,-7.603657842E-1,-2.876754701E-1,-2.309720665E-1
7.114910792E0,-3.934734762E-1,-8.243319392E-1,-2.992109358E-1
7.134798792E0,-1.935609728E-1,-5.288693905E-1,-2.380458415E-1
7.154686792E0,-5.810206756E-3,-1.651480496E-1,-7.662557065E-2
7.174574792E0,1.644920558E-1,1.844704449E-1,6.228465214E-2
7.194462792E0,2.960397899E-1,4.489402473E-1,1.801695824E-1
7.214350792E0,3.995181918E-1,5.013870001E-1,2.943764329E-1
7.234238792E0,3.247771263E-1,5.303935409E-1,2.912608683E-1
7.254126792E0,1.589464396E-1,5.215874314E-1,2.362162024E-1
7.274014792E0,1.022287905E-1,3.106628656E-1,1.500753611E-1
7.293902792E0,1.037595794E-1,1.364239007E-1,5.050711334E-2
7.313790792E0,1.154143550E-2,3.181311116E-2,-3.243684024E-2
7.333678792E0,-1.576317102E-1,-2.403509244E-2,-1.253139079E-1
7.353566792E0,-3.203430176E-1,-3.146221340E-1,-2.187426388E-1
7.373454792E0,-4.256456494E-1,-5.906030536E-1,-2.744554281E-1
7.393342792E0,-4.001230299E-1,-6.969783902E-1,-2.881419063E-1
7.413230792E0,-2.853802443E-1,-5.969331264E-1,-2.148088813E-1
7.433118708E0,-9.002120048E-2,-3.492272496E-1,-9.703938663E-2
7.453006708E0,1.663353592E-1,-8.053744584E-2,3.394411504E-2
7.472894708E0,3.392887712E-1,3.843095601E-1,1.043872833E-1
7.492782708E0,4.878801107E-1,6.455633044E-1,1.560440958E-1
7.512670708E0,4.382431209E-1,6.510775089E-1,2.494200766E-1
7.532558708E0,2.223560661E-1,6.635205150E-1,2.940056324E-1
7.552446708E0,1.271373779E-1,4.635632336E-1,2.112080604E-1
