"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
4.807905958E0,-8.979600652E0,-3.737415699E0,-1.278503935E0
4.827793958E0,-8.965835722E0,-3.801783896E0,-1.181655698E0
4.847681958E0,-8.951528170E0,-3.864292093E0,-1.083265697E0
4.867569958E0,-8.943200566E0,-3.910010303E0,-9.834141838E-1
4.887456958E0,-8.940789759E0,-3.935121755E0,-9.017799635E-1
4.907344958E0,-8.941258705E0,-3.942775468E0,-8.628557067E-1
4.927232958E0,-8.946059854E0,-3.928112405E0,-8.797920207E-1
4.947120958E0,-8.956578995E0,-3.889508795E0,-9.420825552E-1
4.967008958E0,-8.972093997E0,-3.834085377E0,-1.018532780E0
4.986896958E0,-8.991171708E0,-3.769706363E0,-1.088228887E0
5.006784958E0,-9.011768525E0,-3.705620587E0,-1.136878159E0
5.026672958E0,-9.027371820E0,-3.658764802E0,-1.164523210E0
5.046560958E0,-9.036034470E0,-3.634367294E0,-1.173695664E0
5.066448958E0,-9.039991865E0,-3.619690491E0,-1.188497818E0
5.086336958E0,-9.041763572E0,-3.615173517E0,-1.188747713E0
5.106224958E0,-9.038667471E0,-3.627651767E0,-1.174195163E0
5.126112958E0,-9.030854421E0,-3.660122233E0,-1.132826185E0
5.146000958E0,-9.018828453E0,-3.708864915E0,-1.068268539E0
5.165888958E0,-9.005158247E0,-3.767478866E0,-9.743432520E-1
5.185776958E0,-8.992330626E0,-3.823193768E0,-8.702180821E-1
5.205664958E0,-8.982598520E0,-3.858197540E0,-8.144599839E-1
5.225552958E0,-8.979663802E0,-3.874788722E0,-7.666518331E-1
5.245440958E0,-8.985692866E0,-3.862966529E0,-7.555783030E-1
5.265327958E0,-9.000980996E0,-3.817321410E0,-8.040504051E-1
5.285215958E0,-9.020993677E0,-3.747667623E0,-9.015246595E-1
5.305103958E0,-9.045174252E0,-3.664117635E0,-9.975789175E-1
5.324991958E0,-9.064817973E0,-3.589278537E0,-1.087309923E0
