"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.245440958E0,-1.546704315E0,1.915965631E0,3.013033973E0
5.265327958E0,-7.501913363E-1,1.553279801E0,3.015102718E0
5.285215958E0,-3.728705102E-1,9.597154918E-1,2.806313850E0
5.305103958E0,-5.589996636E-2,-1.773440042E-1,1.607410108E0
5.324991958E0,4.457420200E-1,-1.286232492E0,2.197507896E-2
5.344879958E0,8.889831859E-1,-7.173998585E-1,-1.998124420E0
5.364767958E0,1.033486011E0,-8.018579185E-2,-3.331454626E0
5.384655958E0,-2.317304188E-1,-8.653347069E-1,-3.781600184E0
5.404543958E0,1.307616345E0,-5.474748015E-1,-3.321996170E0
5.424434167E0,2.028558154E0,-8.972844779E-3,-2.760725448E0
5.444322167E0,1.758156005E0,1.229616827E-1,-2.160824365E0
5.464210167E0,7.400306296E-1,-2.677855200E-1,-1.191541074E0
5.484098167E0,4.994036722E-1,-1.019208280E0,-7.167517678E-1
5.503986167E0,-1.008271648E0,-1.478334284E0,5.103660321E-1
5.523874167E0,-1.311681914E0,-9.950329667E-1,1.396812111E0
5.543762167E0,-1.209391308E0,3.970019692E-1,2.733223654E0
5.563650167E0,-1.632338542E0,2.033558108E0,3.463858978E0
5.583538167E0,-1.499983308E0,2.596734730E0,3.327699544E0
5.603426167E0,-5.649895513E-1,1.411856412E0,3.445218054E0
5.623314167E0,1.596231401E-1,3.565886459E-1,1.967990355E0
5.643202167E0,1.024116433E-1,-4.851358813E-1,3.029104022E-1
5.663090167E0,1.727922392E-1,-6.312753421E-1,-1.050826514E0
5.682978167E0,-3.021677327E-1,-7.097511157E-1,-2.039733353E0
5.702866167E0,1.959863895E-1,-1.187221005E0,-2.738025388E0
5.722754167E0,6.401707113E-1,-6.274264124E-1,-2.686785067E0
5.742642167E0,1.507575917E0,2.305182910E-1,-2.397719775E0
5.762530167E0,1.738228694E0,1.075507611E-2,-2.410310000E0
5.782418167E0,1.189990831E0,-1.042409447E-1,-1.691433427E0
5.802306167E0,7.674733669E-1,-5.154376146E-1,-9.616669270E-1
5.822194167E0,-8.401922643E-2,-1.019829839E0,-1.334795080E-2
5.842082167E0,-1.021032611E0,-1.129227735E0,6.442322604E-1
5.861970167E0,-1.176136438E0,-2.402281773E-1,1.659142764E0
5.881858167E0,-1.235847035E0,6.925579628E-1,2.408380419E0
5.901745167E0,-1.238194107E0,1.712006563E0,2.650522975E0
5.921633167E0,-6.780349410E-1,1.361300509E0,2.407503337E0
5.941521167E0,-4.865058839E-2,6.787740290E-1,2.129016827E0
5.961409167E0,4.424184626E-1,1.222068071E-1,7.628522392E-1
5.981297167E0,2.684374845E-1,-2.004118547E-1,-4.759761449E-1
6.001185167E0,-1.600581729E-1,-5.061060432E-1,-1.214602273E0
6.021073167E0,-1.481947571E-1,-6.969927835E-1,-1.817539158E0
6.040961167E0,2.019324231E-1,-8.386179015E-1,-1.921831266E0
6.060849167E0,6.603354192E-1,-3.041227493E-1,-1.877531590E0
6.080737167E0,9.950873458E-1,-1.275818601E-1,-1.622377810E0
6.100625167E0,9.221649653E-1,-1.193086347E-1,-1.487031140E0
6.120513167E0,5.888321579E-1,-2.601876479E-1,-9.292932328E-1
6.140401167E0,-4.759808958E-2,-4.467421862E-1,-2.970479107E-1
6.160289167E0,-4.650191206E-1,-2.113040480E-1,1.732915914E-1
6.180177167E0,-7.744561118E-1,-2.418729991E-1,9.242600226E-1
6.200065167E0,-9.031942588E-1,2.058269611E-1,1.442756023E0
6.219953167E0,-7.338705879E-1,7.470335475E-1,1.971048449E0
6.239841167E0,-7.778387260E-1,1.437007041E0,2.166810890E0
6.259729167E0,-3.948630577E-1,9.698729825E-1,2.022793969E0
6.279617167E0,-1.699276882E-1,5.932435897E-1,1.607803041E0
6.299505167E0,1.604610461E-1,3.985266307E-1,6.302036206E-1
6.319393167E0,2.374986970E-1,1.591998017E-1,-8.715735398E-2
6.339281167E0,1.377668327E-1,-2.795211741E-1,-5.502977642E-1
6.359169167E0,3.487291110E-1,-6.291694674E-1,-1.011840788E0
6.379057167E0,1.954291499E-1,-7.683089340E-1,-1.213710061E0
6.398945167E0,-1.066625690E-1,-3.171953693E-1,-1.782410256E0
6.418833167E0,2.556075239E-1,-1.696218789E-1,-1.553205249E0
6.438718792E0,4.921396762E-1,-1.437763086E-1,-1.125048803E0
6.458606792E0,5.994121099E-1,-2.714154714E-1,-1.259803662E0
6.478494792E0,4.594426310E-1,-3.952846420E-1,-1.184293816E0
6.498382792E0,1.791563487E-1,-5.585716474E-1,-3.218003440E-1
6.518270792E0,-6.084559983E-1,-4.525569499E-1,3.556439551E-1
6.538158792E0,-9.298715955E-1,1.029016399E-1,1.450880145E0
6.558046792E0,-5.328614402E-1,8.585074979E-1,2.190365814E0
6.577934792E0,7.478004098E-3,1.061727770E0,2.175725555E0
6.597822792E0,-5.591049135E-2,8.871062297E-1,1.478923391E0
6.617710792E0,-2.839150643E-1,4.783408320E-1,5.645767379E-1
6.637598792E0,3.843339765E-1,-1.996599028E-1,1.523527852E-1
6.657486792E0,-1.290544814E-1,-6.769312790E-1,-6.403812841E-1
6.677374792E0,-6.281079054E-3,-4.176063877E-1,-2.186213121E0
6.697262792E0,9.377343464E-1,-9.397644997E-2,-1.879172319E0
6.717150792E0,-3.025021935E-1,-5.235658291E-1,-1.384009048E0
6.737038792E0,-2.319531977E-2,-5.459992567E-1,-1.810245341E0
6.756926792E0,8.211554843E-1,-1.800626671E-1,-1.427204769E0
6.776814792E0,4.512787485E-1,-1.766356140E-1,-6.125426173E-1
6.796702792E0,-1.328007925E-1,-4.599355513E-1,4.882074237E-2
6.816590792E0,-6.482410383E-1,-4.027404267E-1,5.418053412E-1
6.836478792E0,-4.671685570E-1,2.013254821E-1,1.214743922E0
6.856366792E0,-5.064448893E-1,7.320626289E-1,1.943588755E0
6.876254792E0,-7.602473778E-1,1.324898960E0,1.580138694E0
6.896142792E0,-5.360855949E-1,8.205418190E-1,1.133341252E0
6.916030792E0,-8.474311173E-2,3.572072813E-1,1.210842587E0
6.935918792E0,4.645244461E-1,-9.039766163E-2,2.082930974E-1
6.955806792E0,5.370989174E-1,-1.500339988E-1,-8.169856887E-1
6.975694792E0,9.030381382E-2,-1.452650097E-1,-1.492611723E0
6.995582792E0,-2.860919827E-1,-5.686958089E-1,-2.018538365E0
7.015470792E0,-3.160829365E-2,-6.426166016E-1,-1.648811903E0
7.035358792E0,3.243766272E-1,-4.985499787E-1,-1.632036241E0
7.055246792E0,5.185047716E-1,-7.220676908E-1,-1.429008050E0
7.075134792E0,5.086715090E-1,-6.976675522E-1,-9.459227872E-1
7.095022792E0,3.884305358E-2,-5.434653658E-1,-2.856925448E-1
7.114910792E0,4.188541836E-1,-4.440083206E-3,6.478738332E-1
7.134798792E0,-3.022063243E-1,3.331310785E-1,1.963127811E0
7.154686792E0,-8.790709859E-1,8.869109327E-1,2.396643888E0
7.174574792E0,-1.156096861E0,1.486883790E0,2.324930127E0
7.194462792E0,-8.189727187E-1,1.228781260E0,1.661433703E0
7.214350792E0,-5.004573405E-1,9.634006995E-1,1.297249231E0
7.234238792E0,1.367096561E-1,2.040371284E-1,2.758646178E-1
7.254126792E0,4.666446465E-1,-5.940776950E-1,-7.485722423E-1
7.274014792E0,6.064884102E-1,-5.014969754E-1,-1.362595375E0
7.293902792E0,5.035049093E-1,-5.531287667E-1,-1.678404661E0
7.313790792E0,2.150915819E-1,-6.084674004E-1,-1.789951994E0
7.333678792E0,2.263790470E-1,-4.128952861E-1,-1.542023034E0
7.353566792E0,3.111256671E-1,-4.515781260E-1,-1.525096368E0
7.373454792E0,2.620552486E-1,-6.875974774E-1,-1.108152543E0
7.393342792E0,8.903906107E-2,-6.437854600E-1,-3.568391625E-1
7.413230792E0,-1.976224405E-1,-1.852658120E-1,6.798265278E-1
7.433118708E0,-3.110046297E-1,7.635288352E-1,1.790050228E0
7.453006708E0,-5.909880263E-1,1.591824939E0,2.403516705E0
7.472894708E0,-8.230037892E-1,1.155244921E0,2.408693830E0
7.492782708E0,-4.808598125E-1,1.049795942E0,1.841936080E0
7.512670708E0,-3.757602042E-1,5.238298309E-1,8.199738351E-1
7.532558708E0,-4.123433089E-1,-6.494943890E-1,-1.118525577E-1
7.552446708E0,5.525384903E-2,-8.010787770E-1,-1.004130650E0
7.572334708E0,4.924770606E-1,-7.363144317E-1,-1.654896369E0
7.592222708E0,7.267504334E-1,-5.761983714E-1,-2.114052633E0
7.612110708E0,8.623333311E-1,-3.078708145E-1,-2.085768481E0
7.631999708E0,7.300289673E-1,-3.315894601E-1,-2.075673848E0
7.651887708E0,5.181387359E-1,-5.275565538E-1,-1.658761525E0
7.671775708E0,4.012850547E-1,-7.077519527E-1,-8.787604988E-1
7.691663708E0,2.002086639E-1,-5.956871411E-1,-3.587839830E-1
