"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.470279583E0,3.592229919E0,-8.502918091E0,3.930376740E0
5.490169583E0,1.721420288E0,-6.112089844E0,3.367547150E0
5.510058583E0,2.428998871E0,-2.787353668E0,5.947132874E0
5.529948583E0,3.344495087E0,-6.144721985E-1,9.506281586E0
5.549838583E0,3.288511505E0,8.038284302E-1,3.635340271E0
5.569727583E0,2.798430634E0,1.553319855E0,-1.052311707E-1
5.589617583E0,4.262536011E0,9.198371887E-1,1.045575714E0
5.609507583E0,5.435646515E0,-6.128256226E-1,2.263742523E0
5.629396583E0,6.163433075E0,-3.104544067E0,-1.902992706E0
5.649286583E0,3.795806580E0,-8.562344513E0,-8.801846466E0
5.669176583E0,-9.432485046E0,-2.715577927E1,-3.130305496E1
5.689065583E0,-1.761207550E1,-3.015449341E1,-9.921817474E0
5.708955583E0,-1.401819901E1,-1.267818558E1,-9.279503174E0
5.728845583E0,-8.981921997E0,-6.040388947E0,-8.808432770E0
5.748735583E0,-2.756517792E0,-1.599109634E1,1.070723419E1
5.768623750E0,2.480192413E0,-1.418510193E1,1.212403793E1
5.788513750E0,6.577771454E0,-7.986342316E0,5.151836700E0
5.808403750E0,5.625302124E0,-5.559588776E0,1.220262451E0
5.828292750E0,4.701123962E0,-4.286037140E0,-6.463558960E-1
5.848182750E0,3.552562408E0,-7.870932312E0,6.800358582E-1
5.868072750E0,3.420836334E0,-1.091754684E1,2.497406616E0
5.887961750E0,2.141446838E0,-1.245664627E1,4.206103363E0
5.907851750E0,-8.334667969E-1,-1.315554291E1,6.477480011E0
5.927741750E0,-2.928210754E0,-1.198303116E1,6.874604187E0
5.947630750E0,-3.691174164E0,-9.777667236E0,5.781876526E0
5.967520750E0,-3.557651825E0,-7.903714142E0,2.263892212E0
5.987410750E0,-3.668571167E0,-5.844147034E0,-1.326092377E0
6.007299750E0,-4.639901276E0,-5.299130402E0,-2.164798279E0
6.027189750E0,-6.428382111E0,-6.251150665E0,-5.188211060E-1
6.047079750E0,-6.587650909E0,-7.342381439E0,-7.000941467E-1
6.066968750E0,-5.512287140E0,-7.494465179E0,-1.788480835E0
6.086858750E0,-4.867428131E0,-8.848998413E0,-1.312081512E1
6.106748750E0,-2.076931000E0,-1.104118973E1,-1.446861237E1
6.126637750E0,-4.593946838E0,-1.345147751E1,4.781207428E0
6.146527750E0,-8.441845093E0,-1.407807449E1,7.227570190E0
